semantic_id,tune_id,signed_pdg,component,quantity,unit,value_hex,status,uncertainty_status
4255654d06c1ae88c7eccfc40b0086da02a58472a768f607297c7d4266546808,MONASH,-4122,beauty_plus_antibeauty_constituent_count,raw_weighted_sum,weighted_count,0x0.0p+0,AVAILABLE,WITHHELD_UNCERTAINTY
1b297e11edc8428c560b150ff65d327c46dba29194c715f50530222b83de5285,CLOSEPACKING,-4122,charm_plus_anticharm_constituent_count,raw_count,count,0x1.4903100000000p+21,AVAILABLE,WITHHELD_UNCERTAINTY
3906a7ac978c1ac087183e34530ff4ca16cf54626c6e53b4c7f7e5523e00c746,JUNCTIONS,-4122,charm_plus_anticharm_constituent_count,raw_count,count,0x1.7fc6180000000p+21,AVAILABLE,WITHHELD_UNCERTAINTY
08f6ff34cdd25df240b8a4f9114dd6dfff0e5642159720fc85496d0ec10c70a3,MONASH,-4122,charm_plus_anticharm_constituent_count,raw_count,count,0x1.1156280000000p+21,AVAILABLE,WITHHELD_UNCERTAINTY
a9f50eb2344929a2d55778faf4e3b5a918f743df4fcc234f32a2c75554397785,CLOSEPACKING,-4122,charm_plus_anticharm_constituent_count,raw_weighted_sum,weighted_count,0x1.4903100000000p+21,AVAILABLE,WITHHELD_UNCERTAINTY
20d303c0e85411e7dc8a37e2be32f006094f0083a2720c7bf69229499418776a,JUNCTIONS,-4122,charm_plus_anticharm_constituent_count,raw_weighted_sum,weighted_count,0x1.7fc6180000000p+21,AVAILABLE,WITHHELD_UNCERTAINTY
ec7e877383a3d16a3ef7a9ff41a3f66657b0cb7ec987bba1fc6f6235d3146f29,MONASH,-4122,charm_plus_anticharm_constituent_count,raw_weighted_sum,weighted_count,0x1.1156280000000p+21,AVAILABLE,WITHHELD_UNCERTAINTY
3570311b1d4e485ae7a791dfecc7e28f7e547448d4d3b8a28c95b5d9304b1dde,CLOSEPACKING,-4122,hadron_count,normalized_yield,per_event,0x1.b997a64f5f8ebp-6,AVAILABLE,AVAILABLE
252da90f0b149c9091e5e6306bd62938e92ba858cd1a6b9966b45d975675b86c,JUNCTIONS,-4122,hadron_count,normalized_yield,per_event,0x1.018bd66277c46p-5,AVAILABLE,AVAILABLE
42fd142b04c764b3f690cad7e8384350bf89b1d308ea1e3d869ae061b6efea57,MONASH,-4122,hadron_count,normalized_yield,per_event,0x1.6eddb90341530p-6,AVAILABLE,AVAILABLE
ae5acfcfad1e8d8d83021a9c3421c651fef13d4faa118b6161bf7bce497f9b02,CLOSEPACKING,-4122,hadron_count,raw_count,count,0x1.4903100000000p+21,AVAILABLE,WITHHELD_UNCERTAINTY
eaaad42f29297937a97a264a31bea839b5e7204d0844400b54adb6d0728c621b,JUNCTIONS,-4122,hadron_count,raw_count,count,0x1.7fc6180000000p+21,AVAILABLE,WITHHELD_UNCERTAINTY
