associate,campaign,class,delta,delta_sem,flagged_below_2sem,flavour,nominal_sem,nominal_status,nominal_yield,relative_shift_percent,relative_shift_undefined,significance,trigger,tune,variation_sem,variation_status,variation_yield
Lambda_b,HF_SYS_MUF_DOWN,c5,-5.947341203561482e-05,0.0025702713738075663,True,BEAUTY,0.0004602934896504993,PASS,0.026918773412035614,-0.22093656024097943,False,0.023138962150720952,B^{+},CLOSEPACKING,0.00252872,PASS,0.0268593
Lambda_b,HF_SYS_MUF_DOWN,c6,-0.00048073942562036967,0.002659814383537139,True,BEAUTY,0.000546764569783973,PASS,0.02933303942562037,-1.6389008266237737,False,0.18074171964626384,B^{+},CLOSEPACKING,0.00260301,PASS,0.0288523
Lambda_b,HF_SYS_MUF_DOWN,c7,0.0006211385059182346,0.0014437456904543044,True,BEAUTY,0.0006104276338808525,PASS,0.03097186149408177,2.005492973152177,False,0.43022708917855235,B^{+},CLOSEPACKING,0.00130835,PASS,0.031593
Lambda_b,HF_SYS_MUF_DOWN,c8,-0.00039088392598109895,0.0015534584989654258,True,BEAUTY,0.0006574659741065797,PASS,0.0336299839259811,-1.1623077990207382,False,0.25162173707338836,B^{+},CLOSEPACKING,0.00140747,PASS,0.0332391
Lambda_b,HF_SYS_MUF_DOWN,c9,-0.0005112834000760014,0.001465535840720926,True,BEAUTY,0.0005701809322816671,PASS,0.036198883400076,-1.4124286498708076,False,0.34887130418079093,B^{+},CLOSEPACKING,0.00135007,PASS,0.0356876
Lambda_b,HF_SYS_MUF_DOWN,c10,-0.00031557138533325896,0.0011880500524326617,True,BEAUTY,0.0003186126271591417,PASS,0.03814787138533326,-0.8272319630777274,False,0.2656212881663464,B^{+},CLOSEPACKING,0.00114453,PASS,0.0378323
Lambda_b,HF_SYS_MUF_DOWN,c11,-0.003586607339419949,0.002071500724719569,True,BEAUTY,0.0005760996477291917,PASS,0.039242507339419946,-9.139597804998369,False,1.731405302745182,B^{+},CLOSEPACKING,0.00198978,PASS,0.0356559
Lambda_b,HF_SYS_MUF_DOWN,MB,-0.0012133381301376658,0.0006520495823096671,True,BEAUTY,0.00022178538321136336,PASS,0.033295038130137664,-3.644201053007321,False,1.8608065445572746,B^{+},CLOSEPACKING,0.000613172,PASS,0.0320817
Lambda_b,HF_SYS_MUF_DOWN,c1,0.004138158498272083,0.002007292054359699,False,BEAUTY,0.0006586339240394317,PASS,0.02331134150172792,17.751696091644266,False,2.0615627353699177,B^{+},JUNCTIONS,0.00189616,PASS,0.0274495
Lambda_b,HF_SYS_MUF_DOWN,c2,-0.002856687950707447,0.003038713607850998,True,BEAUTY,0.0009425105134898106,PASS,0.025650387950707447,-11.137016548042732,False,0.9400977911596344,B^{+},JUNCTIONS,0.00288885,PASS,0.0227937
Lambda_b,HF_SYS_MUF_DOWN,c3,0.0013005227740612232,0.002093560290048459,True,BEAUTY,0.0006119069442879285,PASS,0.025244877225938777,5.15163041761579,False,0.6212014911837673,B^{+},JUNCTIONS,0.00200214,PASS,0.0265454
Lambda_b,HF_SYS_MUF_DOWN,c4,-0.0014798840237533056,0.0017914925359991932,True,BEAUTY,0.0008038933427643372,PASS,0.026972884023753304,-5.4865620689655055,False,0.8260620650188253,B^{+},JUNCTIONS,0.001601,PASS,0.025493
Lambda_b,HF_SYS_MUF_DOWN,c5,0.0018434104183657624,0.0017476772096201574,True,BEAUTY,0.0007537927642433957,PASS,0.028787589581634236,6.403489993972306,False,1.0547773972325312,B^{+},JUNCTIONS,0.00157676,PASS,0.030631
Lambda_b,HF_SYS_MUF_DOWN,c6,0.0007871965150857071,0.001392559047801449,True,BEAUTY,0.000515677445709698,PASS,0.03097330348491429,2.541532308522129,False,0.5652877099384195,B^{+},JUNCTIONS,0.00129356,PASS,0.0317605
Lambda_b,HF_SYS_MUF_DOWN,c7,-0.002021436942278361,0.001806182357582295,True,BEAUTY,0.0005578993898917058,PASS,0.03356533694227836,-6.022394310399999,False,1.1191765514663756,B^{+},JUNCTIONS,0.00171786,PASS,0.0315439
Lambda_b,HF_SYS_MUF_DOWN,c8,2.4891459900831803e-05,0.0013726047668298216,True,BEAUTY,0.00030565533910590975,PASS,0.03509540854009917,0.07092511794638726,False,0.018134469952571494,B^{+},JUNCTIONS,0.00133814,PASS,0.0351203
Lambda_b,HF_SYS_MUF_DOWN,c9,-0.004162397508801062,0.0015528242475972476,False,BEAUTY,0.0007443198558589969,PASS,0.03871299750880106,-10.751938048338358,False,2.6805335602156655,B^{+},JUNCTIONS,0.00136281,PASS,0.0345506
Lambda_b,HF_SYS_MUF_DOWN,c10,-0.0015108571624327036,0.001058059285484241,True,BEAUTY,0.0005709769659236898,PASS,0.0415365571624327,-3.6374154856512333,False,1.427951328588578,B^{+},JUNCTIONS,0.000890772,PASS,0.0400257
Lambda_b,HF_SYS_MUF_DOWN,c11,-0.003961908943313844,0.0013455617991006406,False,BEAUTY,0.00038752477688394654,PASS,0.043640508943313845,-9.078512233805759,False,2.9444273358250377,B^{+},JUNCTIONS,0.00128855,PASS,0.0396786
Lambda_b,HF_SYS_MUF_DOWN,MB,-0.002505895608830279,0.000497079868896072,False,BEAUTY,0.00030652287193737467,PASS,0.03653049560883028,-6.859736138440303,False,5.041233342230168,B^{+},JUNCTIONS,0.000391321,PASS,0.0340246
Lambda_b,HF_SYS_MUF_DOWN,c1,0.001998566327765669,0.0012517608218298277,True,BEAUTY,0.0006938236236019105,PASS,0.02125393367223433,9.40327733485191,False,1.596603994079443,B^{+},MONASH,0.00104188,PASS,0.0232525
Lambda_b,HF_SYS_MUF_DOWN,c2,0.001314902309172538,0.0027984225203653945,True,BEAUTY,0.0008398286001251731,PASS,0.01982039769082746,6.6340864077669455,False,0.46987268705972574,B^{+},MONASH,0.00266943,PASS,0.0211353
Lambda_b,HF_SYS_MUF_DOWN,c3,-0.001668342352811436,0.0012383158124317643,True,BEAUTY,0.0004961851042892566,PASS,0.019533242352811436,-8.541041587861681,False,1.347267260954376,B^{+},MONASH,0.00113456,PASS,0.0178649
Lambda_b,HF_SYS_MUF_DOWN,c4,-0.0019233048918008873,0.0013511655421571804,True,BEAUTY,0.0006547440701624621,PASS,0.020021404891800886,-9.60624342894396,False,1.423441341414219,B^{+},MONASH,0.00118193,PASS,0.0180981
Lambda_b,HF_SYS_MUF_DOWN,c5,0.0017185510814635187,0.001201552570076555,True,BEAUTY,0.0004017165301024778,PASS,0.01901404891853648,9.038322604651192,False,1.430275398898297,B^{+},MONASH,0.00113241,PASS,0.0207326
Lambda_b,HF_SYS_MUF_DOWN,c6,0.0006871174645176788,0.001273333653941805,True,BEAUTY,0.0005025423299193692,PASS,0.018871782535482322,3.640978075207126,False,0.5396209095633328,B^{+},MONASH,0.00116997,PASS,0.0195589
Lambda_b,HF_SYS_MUF_DOWN,c7,-0.0008746952193540818,0.0012413260333892214,True,BEAUTY,0.00023577003259493898,PASS,0.019446695219354083,-4.497911904761854,False,0.7046458350397123,B^{+},MONASH,0.00121873,PASS,0.018572
Lambda_b,HF_SYS_MUF_DOWN,c8,-0.000490952280958315,0.0011891457632205863,True,BEAUTY,0.0002814032858469685,PASS,0.019799152280958316,-2.4796631390652246,False,0.41286131283742666,B^{+},MONASH,0.00115537,PASS,0.0193082
Lambda_b,HF_SYS_MUF_DOWN,c9,0.000338601815734748,0.0006414148135360864,True,BEAUTY,0.00020835787991706082,PASS,0.019462698184265253,1.739747554676118,False,0.5278983406511207,B^{+},MONASH,0.00060663,PASS,0.0198013
Lambda_b,HF_SYS_MUF_DOWN,c10,0.00026081816410325476,0.000952319445200467,True,BEAUTY,0.00011308801061971646,PASS,0.019260081835896746,1.3541903213367688,False,0.2738767599650887,B^{+},MONASH,0.000945581,PASS,0.0195209
Lambda_b,HF_SYS_MUF_DOWN,c11,0.0017809290027762555,0.001043425987918246,True,BEAUTY,0.0003098588606562151,PASS,0.019109570997223744,9.319565588547174,False,1.7068091301132071,B^{+},MONASH,0.000996356,PASS,0.0208905
Lambda_b,HF_SYS_MUF_DOWN,MB,0.00027856094500332274,0.0002928400398266049,True,BEAUTY,9.650098256830112e-05,PASS,0.019420239054996676,1.4343847375640373,False,0.9512392675819296,B^{+},MONASH,0.000276483,PASS,0.0196988
D-,HF_SYS_MUF_DOWN,c1,-0.002416510852702558,0.000995860749019368,False,CHARM,0.00023349736923018277,PASS,0.17961051085270255,-1.345417281666953,False,2.4265549727530837,D^{+},CLOSEPACKING,0.0009681,PASS,0.177194
D-,HF_SYS_MUF_DOWN,c2,-0.0035937582525792933,0.0011450501767723696,False,CHARM,0.0005345850234774958,PASS,0.1782937582525793,-2.0156388466993933,False,3.138515958059814,D^{+},CLOSEPACKING,0.0010126,PASS,0.1747
D-,HF_SYS_MUF_DOWN,c3,-0.0001361002394262012,0.0007231970809967743,True,CHARM,0.00024103103360616213,PASS,0.1759331002394262,-0.07735908663064725,False,0.1881924623349085,D^{+},CLOSEPACKING,0.000681849,PASS,0.175797
D-,HF_SYS_MUF_DOWN,c4,-0.0010592619631617783,0.0015340548517882892,True,CHARM,0.0003446413537217927,PASS,0.1737752619631618,-0.6095585477444591,False,0.6904981017640719,D^{+},CLOSEPACKING,0.00149484,PASS,0.172716
D-,HF_SYS_MUF_DOWN,c5,0.003571916715065987,0.0013871011430167822,False,CHARM,0.00023903401109144176,PASS,0.17244208328493402,2.0713718177273144,False,2.5750946375096246,D^{+},CLOSEPACKING,0.00136635,PASS,0.176014
D-,HF_SYS_MUF_DOWN,c6,0.002231677385715891,0.0012017280003955124,True,CHARM,0.00037037191312867763,PASS,0.16971132261428412,1.3149843813238051,False,1.8570569920825695,D^{+},CLOSEPACKING,0.00114323,PASS,0.171943
D-,HF_SYS_MUF_DOWN,c7,0.005619160172486204,0.0009039590227064671,False,CHARM,0.00032798614996434097,PASS,0.1689968398275138,3.325009022784915,False,6.216166918343657,D^{+},CLOSEPACKING,0.000842358,PASS,0.174616
D-,HF_SYS_MUF_DOWN,c8,0.0058947802638970315,0.0012508364770772457,False,CHARM,0.0003120391454401431,PASS,0.16868321973610298,3.494586048997132,False,4.7126705783884795,D^{+},CLOSEPACKING,0.00121129,PASS,0.174578
D-,HF_SYS_MUF_DOWN,c9,0.007431239356662206,0.002064390655855887,False,CHARM,0.0004588092875968174,PASS,0.1700757606433378,4.3693700551756445,False,3.5997253405418306,D^{+},CLOSEPACKING,0.00201276,PASS,0.177507
D-,HF_SYS_MUF_DOWN,c10,0.011642733455458049,0.0022603577076152855,False,CHARM,0.0005017302118428087,PASS,0.17345426654454196,6.712278508564832,False,5.150836708823987,D^{+},CLOSEPACKING,0.00220397,PASS,0.185097
D-,HF_SYS_MUF_DOWN,c11,0.013538968837357529,0.0035997073049408297,False,CHARM,0.0005044227643003137,PASS,0.17969203116264248,7.534540485606267,False,3.761130472684383,D^{+},CLOSEPACKING,0.00356419,PASS,0.193231
D-,HF_SYS_MUF_DOWN,MB,0.0026068031280070125,0.00022881211453306934,False,CHARM,9.871019771074541e-05,PASS,0.17347719687199298,1.5026776861805908,False,11.392767088957003,D^{+},CLOSEPACKING,0.000206425,PASS,0.176084
D-,HF_SYS_MUF_DOWN,c1,-0.0018638639341086172,0.0009198432708308486,False,CHARM,0.0004281097214229009,PASS,0.1801638639341086,-1.0345381662053434,False,2.0262842521259974,D^{+},JUNCTIONS,0.000814146,PASS,0.1783
D-,HF_SYS_MUF_DOWN,c2,-0.0029892752351647345,0.00121817601342469,False,CHARM,0.0002491254599258585,PASS,0.17884927523516472,-1.671393541424312,False,2.4538943487820837,D^{+},JUNCTIONS,0.00119243,PASS,0.17586
D-,HF_SYS_MUF_DOWN,c3,-0.0017648642818411109,0.0010168157045647257,True,CHARM,0.0003504337849130123,PASS,0.17665086428184112,-0.9990691463729966,False,1.7356776394367421,D^{+},JUNCTIONS,0.000954521,PASS,0.174886
D-,HF_SYS_MUF_DOWN,c4,0.0003073104288820183,0.002167620589402322,True,CHARM,0.000518231957718618,PASS,0.174327689571118,0.1762831995525583,False,0.14177316380204388,D^{+},JUNCTIONS,0.00210476,PASS,0.174635
D-,HF_SYS_MUF_DOWN,c5,0.00020733552532939403,0.0012398129347859273,True,CHARM,0.00021293797491874072,PASS,0.1724606644746706,0.12022192188633572,False,0.1672312971675793,D^{+},JUNCTIONS,0.00122139,PASS,0.172668
D-,HF_SYS_MUF_DOWN,c6,0.0029404098714887195,0.0011139165129202227,False,CHARM,0.00043830481876925404,PASS,0.1718275901285113,1.7112559567934127,False,2.6397039970079947,D^{+},JUNCTIONS,0.00102406,PASS,0.174768
D-,HF_SYS_MUF_DOWN,c7,0.0060930462258540485,0.0014433375309282025,False,CHARM,0.00037571001022852735,PASS,0.16994595377414595,3.5852846687668474,False,4.221497809965244,D^{+},JUNCTIONS,0.00139358,PASS,0.176039
D-,HF_SYS_MUF_DOWN,c8,0.005899840656522937,0.001968709636089043,False,CHARM,0.00043987146716950327,PASS,0.17049315934347706,3.4604559380808144,False,2.996805901881659,D^{+},JUNCTIONS,0.00191894,PASS,0.176393
D-,HF_SYS_MUF_DOWN,c9,0.009236862951533809,0.0018409278476791866,False,CHARM,0.00048518824672566253,PASS,0.16943013704846618,5.4517237089240895,False,5.017504060888915,D^{+},JUNCTIONS,0.00177584,PASS,0.178667
D-,HF_SYS_MUF_DOWN,c10,0.007756230774876499,0.0024554875007309737,False,CHARM,0.0006300860047216141,PASS,0.1730157692251235,4.4829617610082115,False,3.158733560063958,D^{+},JUNCTIONS,0.00237327,PASS,0.180772
D-,HF_SYS_MUF_DOWN,c11,0.01232847340744192,0.002437852562850536,False,CHARM,0.0007016416665199743,PASS,0.17949352659255807,6.8684780122611215,False,5.057103778674155,D^{+},JUNCTIONS,0.0023347,PASS,0.191822
D-,HF_SYS_MUF_DOWN,MB,0.00249823421174028,0.0004277741492597373,False,CHARM,0.00012988801596333668,PASS,0.1739737657882597,1.4359832934701404,False,5.840077564442526,D^{+},JUNCTIONS,0.000407578,PASS,0.176472
D-,HF_SYS_MUF_DOWN,c1,-0.003167563675193885,0.0006722031077839744,False,CHARM,0.00033590570038395234,PASS,0.18888156367519388,-1.6770105104810114,False,4.712212184850302,D^{+},MONASH,0.000582258,PASS,0.185714
D-,HF_SYS_MUF_DOWN,c2,-0.001875167301271713,0.00117513278592535,True,CHARM,0.0004754397427189635,PASS,0.18785416730127172,-0.9982037280356988,False,1.5957067352138643,D^{+},MONASH,0.00107466,PASS,0.185979
D-,HF_SYS_MUF_DOWN,c3,-0.002312635804016777,0.000760842315330275,False,CHARM,0.00033778390473368275,PASS,0.18851263580401678,-1.2267802601948978,False,3.0395730592519454,D^{+},MONASH,0.00068175,PASS,0.1862
D-,HF_SYS_MUF_DOWN,c4,-0.003357513078747487,0.001329686704790352,False,CHARM,0.0002484985820809129,PASS,0.1903615130787475,-1.7637562469670922,False,2.525040723240785,D^{+},MONASH,0.00130626,PASS,0.187004
D-,HF_SYS_MUF_DOWN,c5,-0.0013563062145896254,0.0007563474902962091,True,CHARM,0.0003809421189332759,PASS,0.19222730621458964,-0.7055741670101419,False,1.793231592608913,D^{+},MONASH,0.00065341,PASS,0.190871
D-,HF_SYS_MUF_DOWN,c6,0.002072564735055904,0.0013592161149474993,True,CHARM,0.0004642616139990186,PASS,0.1930014352649441,1.0738597524991336,False,1.5248235451769627,D^{+},MONASH,0.00127747,PASS,0.195074
D-,HF_SYS_MUF_DOWN,c7,-0.0012328646861657633,0.0010075483246869907,True,CHARM,0.00032758578621570504,PASS,0.19487486468616577,-0.6326442808061561,False,1.2236283421430634,D^{+},MONASH,0.000952807,PASS,0.193642
D-,HF_SYS_MUF_DOWN,c8,0.0011959745447291115,0.0011956373888228687,True,CHARM,0.00040954048572902765,PASS,0.19728302545527088,0.6062227310074731,False,1.0002819884267542,D^{+},MONASH,0.00112331,PASS,0.198479
D-,HF_SYS_MUF_DOWN,c9,0.0034082731710139147,0.001734063613493527,True,CHARM,0.0005516993148828696,PASS,0.20004772682898608,1.7037300173510745,False,1.9654833562578744,D^{+},MONASH,0.00164396,PASS,0.203456
D-,HF_SYS_MUF_DOWN,c10,-0.0002957774547208136,0.0025314303977123634,True,CHARM,0.0007727843880165889,PASS,0.2042507774547208,-0.14481093213286927,False,0.11684202535772097,D^{+},MONASH,0.00241059,PASS,0.203955
D-,HF_SYS_MUF_DOWN,c11,-0.001273033950139807,0.004220004179258657,True,CHARM,0.0005633715470810793,PASS,0.2086940339501398,-0.6100001643765026,False,0.30166651407521716,D^{+},MONASH,0.00418223,PASS,0.207421
D-,HF_SYS_MUF_DOWN,MB,-0.0023079569742416595,0.00032206384109432763,False,CHARM,0.00012214958755326323,PASS,0.19344595697424166,-1.1930758390308338,False,7.1661474520068635,D^{+},MONASH,0.000298001,PASS,0.191138
Lambda_c(+)-bar,HF_SYS_MUF_DOWN,c1,-0.0008097105685141229,0.00031317206751189106,False,CHARM,9.350564207935501e-05,PASS,0.019081810568514122,-4.24336341463416,False,2.5855133727192268,D^{+},CLOSEPACKING,0.000298887,PASS,0.0182721
Lambda_c(+)-bar,HF_SYS_MUF_DOWN,c2,-0.0007877574648076403,0.00038578657421136985,False,CHARM,0.00010346296499590948,PASS,0.01850815746480764,-4.256271680773858,False,2.041951476455563,D^{+},CLOSEPACKING,0.000371654,PASS,0.0177204
