tune,flavour,trigger,associate,context,activity_id,bin_index,dphi_low,dphi_high,value,stat_error,status
MONASH,beauty,bplus,bminus,os,integrated_0_100,100,4.64955715,4.712389,0.0008068982438921799,1.7075411129569318e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,1,-1.570796,-1.50796415,0.00074380454975638824,2.3982560743563072e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,2,-1.50796415,-1.4451323,0.00060920466893336607,2.0582154545038703e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,3,-1.4451323,-1.38230045,0.00052858494864874335,2.0892510072077744e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,4,-1.38230045,-1.3194686,0.00051316204563777205,2.2829212934828703e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,5,-1.3194686,-1.2566367500000002,0.00040660380665287954,1.8285131422229536e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,6,-1.2566367500000002,-1.1938049000000002,0.00041081005292859895,1.3924005852349483e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,7,-1.1938049000000002,-1.1309730500000001,0.0003266851274142101,1.5541415791503481e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,8,-1.1309730500000001,-1.0681412000000001,0.00026289039223246526,1.6371303365843425e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,9,-1.0681412000000001,-1.00530935,0.00023905499667005505,1.1853621131751422e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,10,-1.00530935,-0.9424775000000001,0.00021241543692383189,1.3247049318214777e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,11,-0.9424775000000001,-0.8796456500000002,0.0002054050264642995,1.0597433035162157e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,12,-0.8796456500000002,-0.8168138000000001,0.00014441445546636755,1.2303929499616143e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,13,-0.8168138000000001,-0.7539819500000001,0.00013600196291492869,1.035557717032407e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,14,-0.7539819500000001,-0.6911501000000002,0.0001261873882715833,6.4507672497103034e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,15,-0.6911501000000002,-0.6283182500000002,9.8846787479406914e-05,6.4814770801553395e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,16,-0.6283182500000002,-0.5654864000000002,9.1135335973921265e-05,1.0761122060231555e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,17,-0.5654864000000002,-0.5026545500000001,7.1506186687230551e-05,7.2198243265030557e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,18,-0.5026545500000001,-0.4398227000000001,7.2908268779137023e-05,5.5670512901391884e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,19,-0.4398227000000001,-0.3769908500000001,7.1506186687230537e-05,3.8690333026153123e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,20,-0.3769908500000001,-0.3141590000000001,4.767079112482036e-05,7.0754521408039925e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,21,-0.3141590000000001,-0.2513271500000003,5.3279119492446282e-05,6.9405213587095041e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,22,-0.2513271500000003,-0.18849530000000025,4.4165585895054154e-05,7.0112264487129808e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,23,-0.18849530000000025,-0.12566345000000023,4.2062462757194439e-05,7.9736776421787743e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,24,-0.12566345000000023,-0.06283160000000021,4.3464544849100911e-05,9.5535311429828824e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,25,-0.06283160000000021,2.499999998128999e-07,5.6784324722212482e-05,7.2591062378004997e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,26,2.499999998128999e-07,0.06283209999999984,4.4866626941007397e-05,8.3059932152332037e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,27,0.06283209999999984,0.12566394999999986,4.6969750078867118e-05,7.8425466138899821e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os_minus_ss,integrated_0_100,28,0.12566394999999986,0.18849579999999966,3.435101125170879e-05,8.8091594696157943e-06,available_central_sem_only
