flavour,trigger,associate,tune,class,nominal_yield,combined_percent,combined_absolute,source,abs_delta_percent,sem_percent,contribution_percent,quoted_arm,dropped
CHARM,D^{+},D-,JUNCTIONS,c1,0.1801638639341086,5.8243911517772542,0.010493448149678232,S1b_muf,2.1142619739130986,0.70487305187809501,2.1142619739130986,HF_SYS_MUF_UP,no
CHARM,D^{+},D-,JUNCTIONS,c1,0.1801638639341086,5.8243911517772542,0.010493448149678232,S2_pdf,1.6108313856727685,0.41207748777666969,1.6108313856727685,HF_SYS_PDF_CTEQ6L1,yes
CHARM,D^{+},D-,JUNCTIONS,c1,0.1801638639341086,5.8243911517772542,0.010493448149678232,S3_pthat,5.3766963710610653,0.49560938675783328,5.3766963710610653,HF_SYS_PTHAT_1,no
CHARM,D^{+},D-,JUNCTIONS,c1,0.1801638639341086,5.8243911517772542,0.010493448149678232,S5_class_migration,0,0,0,,no
CHARM,D^{+},D-,JUNCTIONS,c2,0.17884927523516472,8.4447109331603354,0.015103304299661975,S1a_mur,0.66775514387429935,0.72442380221149161,0.72442380221149161,HF_SYS_MUR_UP,no
CHARM,D^{+},D-,JUNCTIONS,c2,0.17884927523516472,8.4447109331603354,0.015103304299661975,S1b_muf,1.671393541424312,0.68111878665593639,1.671393541424312,HF_SYS_MUF_DOWN,no
CHARM,D^{+},D-,JUNCTIONS,c2,0.17884927523516472,8.4447109331603354,0.015103304299661975,S2_pdf,1.4787450278217673,0.3876578278460035,1.4787450278217673,HF_SYS_PDF_CTEQ6L1,yes
CHARM,D^{+},D-,JUNCTIONS,c2,0.17884927523516472,8.4447109331603354,0.015103304299661975,S3_pthat,8.2458957384332869,0.92979784372442753,8.2458957384332869,HF_SYS_PTHAT_4,no
CHARM,D^{+},D-,JUNCTIONS,c2,0.17884927523516472,8.4447109331603354,0.015103304299661975,S5_class_migration,0,0,0,,no
CHARM,D^{+},D-,JUNCTIONS,c3,0.17665086428184112,8.0469567536570938,0.014215018653721241,S1a_mur,0.56714371928726071,0.52211872234511802,0.56714371928726071,HF_SYS_MUR_UP,no
CHARM,D^{+},D-,JUNCTIONS,c3,0.17665086428184112,8.0469567536570938,0.014215018653721241,S1b_muf,0.99906914637299649,0.57560754582124596,0.99906914637299649,HF_SYS_MUF_DOWN,no
CHARM,D^{+},D-,JUNCTIONS,c3,0.17665086428184112,8.0469567536570938,0.014215018653721241,S2_pdf,0.019736264514112093,0.87555875975662989,0.87555875975662989,HF_SYS_PDF_CTEQ6L1,no
CHARM,D^{+},D-,JUNCTIONS,c3,0.17665086428184112,8.0469567536570938,0.014215018653721241,S3_pthat,7.9162566087690385,0.57966303067690028,7.9162566087690385,HF_SYS_PTHAT_4,no
CHARM,D^{+},D-,JUNCTIONS,c3,0.17665086428184112,8.0469567536570938,0.014215018653721241,S5_class_migration,0,0,0,,no
CHARM,D^{+},D-,JUNCTIONS,c4,0.17432768957111799,9.0289606532358917,0.015739978499071453,S1a_mur,0.69276979124151938,0.77381068843203882,0.77381068843203882,HF_SYS_MUR_DOWN,no
CHARM,D^{+},D-,JUNCTIONS,c4,0.17432768957111799,9.0289606532358917,0.015739978499071453,S1b_muf,0.17628319955255831,1.2434172647702237,1.2434172647702237,HF_SYS_MUF_DOWN,yes
CHARM,D^{+},D-,JUNCTIONS,c4,0.17432768957111799,9.0289606532358917,0.015739978499071453,S2_pdf,2.0600917947787658,0.59834112354916613,2.0600917947787658,HF_SYS_PDF_CTEQ6L1,no
CHARM,D^{+},D-,JUNCTIONS,c4,0.17432768957111799,9.0289606532358917,0.015739978499071453,S3_pthat,8.7566756987589436,1.4315290848804576,8.7566756987589436,HF_SYS_PTHAT_4,no
CHARM,D^{+},D-,JUNCTIONS,c4,0.17432768957111799,9.0289606532358917,0.015739978499071453,S5_class_migration,0,0,0,,no
CHARM,D^{+},D-,JUNCTIONS,c5,0.17246066447467059,9.2626151802951657,0.015974367687668752,S1a_mur,0.38134172605323258,0.50747818881356854,0.50747818881356854,HF_SYS_MUR_DOWN,no
CHARM,D^{+},D-,JUNCTIONS,c5,0.17246066447467059,9.2626151802951657,0.015974367687668752,S1b_muf,1.2358386370721852,0.73331812545395958,1.2358386370721852,HF_SYS_MUF_UP,no
CHARM,D^{+},D-,JUNCTIONS,c5,0.17246066447467059,9.2626151802951657,0.015974367687668752,S2_pdf,1.0908780451821325,0.54070292759997207,1.0908780451821325,HF_SYS_PDF_CTEQ6L1,yes
CHARM,D^{+},D-,JUNCTIONS,c5,0.17246066447467059,9.2626151802951657,0.015974367687668752,S3_pthat,9.1657628558256139,0.51457167181672447,9.1657628558256139,HF_SYS_PTHAT_4,no
CHARM,D^{+},D-,JUNCTIONS,c5,0.17246066447467059,9.2626151802951657,0.015974367687668752,S5_class_migration,0,0,0,,no
CHARM,D^{+},D-,JUNCTIONS,c6,0.17182759012851129,8.41629296142996,0.014461513373780616,S1a_mur,0.44322924388434465,0.59546925314925514,0.59546925314925514,HF_SYS_MUR_UP,no
CHARM,D^{+},D-,JUNCTIONS,c6,0.17182759012851129,8.41629296142996,0.014461513373780616,S1b_muf,1.7112559567934127,0.64827570012889968,1.7112559567934127,HF_SYS_MUF_DOWN,no
CHARM,D^{+},D-,JUNCTIONS,c6,0.17182759012851129,8.41629296142996,0.014461513373780616,S2_pdf,0.59046985862542456,0.75877930425538853,0.75877930425538853,HF_SYS_PDF_CTEQ6L1,yes
CHARM,D^{+},D-,JUNCTIONS,c6,0.17182759012851129,8.41629296142996,0.014461513373780616,S3_pthat,8.218941941120427,0.85519464511159748,8.218941941120427,HF_SYS_PTHAT_4,no
CHARM,D^{+},D-,JUNCTIONS,c6,0.17182759012851129,8.41629296142996,0.014461513373780616,S5_class_migration,0,0,0,,no
CHARM,D^{+},D-,JUNCTIONS,c7,0.16994595377414595,9.4168634876178814,0.016003578469641514,S1a_mur,1.0168210466196637,0.7521297147808963,1.0168210466196637,HF_SYS_MUR_UP,no
CHARM,D^{+},D-,JUNCTIONS,c7,0.16994595377414595,9.4168634876178814,0.016003578469641514,S1b_muf,3.5852846687668474,0.84929208308563964,3.5852846687668474,HF_SYS_MUF_DOWN,no
